dst_mac,src,dst,protocol,dport,src_mac,sport
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,8.8.4.4,TCP,443,cc:47:40:eb:19:bb,57021
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,8.8.4.4,TCP,443,cc:47:40:eb:19:bb,57021
7c:a9:6b:5a:f6:e0,192.168.1.7,8.8.4.4,TCP,443,cc:47:40:eb:19:bb,57021
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
7c:a9:6b:5a:f6:e0,192.168.1.7,8.8.4.4,TCP,443,cc:47:40:eb:19:bb,57021
7c:a9:6b:5a:f6:e0,192.168.1.7,8.8.4.4,TCP,443,cc:47:40:eb:19:bb,57021
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,8.8.4.4,192.168.1.7,TCP,57021,7c:a9:6b:5a:f6:e0,443
cc:47:40:eb:19:bb,192.168.1.1,192.168.1.7,UDP,55198,7c:a9:6b:5a:f6:e0,53
7c:a9:6b:5a:f6:e0,192.168.1.7,8.8.4.4,TCP,443,cc:47:40:eb:19:bb,57021
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,TCP,443,cc:47:40:eb:19:bb,51517
7c:a9:6b:5a:f6:e0,192.168.1.7,35.190.80.1,TCP,443,cc:47:40:eb:19:bb,55599
